"rt","responses","trial_type","time_elapsed","sequence","stimulus","graphorder","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","linedressed_detor","detour_trial","problems","smooth","distraction","strategies","easier","similar","comments"
"null","","black_cross(without_color)","884156","","blue","","","","null","GW/dustpan.jpg","GW/paint.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"476.10000000009313","","rt_plussign_withcolor","884659","","blue","","","","49","GW/dustpan.jpg","GW/paint.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","886104","","black_plus_sign","","","","null","","","1","0.9787234042553191","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","886208","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","889212","","black_plus_sign","","","","null","GW/snail.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","890040","","blue","","","","null","GW/snail.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"455.69999999995343","","rt_plussign_withcolor","890543","","blue","","","","49","GW/snail.jpg","GW/teeth.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","891723","","black_plus_sign","","","","null","","","1","0.9789473684210527","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","891827","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","894832","","black_plus_sign","","","","null","GW/camera.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","895391","","blue","","","","null","GW/camera.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
