"rt","responses","trial_type","time_elapsed","stimulus","button_pressed","key_press","stimulus_left","stimulus_right","cumulative_accuracy","accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition"
"null","","learn_phase(without_color)","672724","black_plus_sign","","null","GW/globe.jpg","GW/pawn.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","673605","green","","null","GW/globe.jpg","GW/pawn.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","674108","green","","null","GW/globe.jpg","GW/pawn.jpg","","","","","","","","","","",""
"1337.6000000000931","","rt_thecrossant_black","675235","black_plus_sign","","50","","","0.8367346938775511","1","","","","","","","","",""
"null","","color_black","675339","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","677344","black_plus_sign","","null","GW/boat.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","678031","green","","null","GW/boat.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","678534","green","","null","GW/boat.jpg","GW/couch.jpg","","","","","","","","","","",""
"1236.3999999999069","","rt_thecrossant_black","679854","black_plus_sign","","50","","","0.8383838383838383","1","","","","","","","","",""
"null","","color_black","679957","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","681962","black_plus_sign","","null","GW/skates.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","682864","green","","null","GW/skates.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"393.1999999997206","","rt_plussign_withcolor","683367","green","","50","GW/skates.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","684472","black_plus_sign","","50","","","0.84","1","","","","","","","","",""
"null","","color_black","684576","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","686582","black_plus_sign","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","687312","green","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"417.70000000018626","","rt_plussign_withcolor","687816","green","","49","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","689093","black_plus_sign","","50","","","0.8316831683168316","0","","","","","","","","",""
"null","","color_black","689196","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","691201","black_plus_sign","","null","GW/cake.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","691749","blue","","null","GW/cake.jpg","GW/couch.jpg","","","","","","","","","","",""
"84.70000000018626","","rt_plussign_withcolor","692253","blue","","50","GW/cake.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","693712","black_plus_sign","","50","","","0.8235294117647058","0","","","","","","","","",""
"null","","warning_page","696717","warning","","null","","","","","","","","","","","","",""
"null","","color_black","696820","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","698825","black_plus_sign","","null","GW/backpack.jpg","GW/boat.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","699610","blue","","null","GW/backpack.jpg","GW/boat.jpg","","","","","","","","","","",""
"439.09999999962747","","rt_plussign_withcolor","700113","blue","","49","GW/backpack.jpg","GW/boat.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","701335","black_plus_sign","","49","","","0.8252427184466019","1","","","","","","","","",""
"null","","color_black","701439","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","703443","black_plus_sign","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","704026","blue","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","704530","blue","","null","GW/pawn.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"952.3999999999069","","rt_thecrossant_black","705954","black_plus_sign","","49","","","0.8269230769230769","1","","","","","","","","",""
"null","","color_black","706058","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","708063","black_plus_sign","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","709060","blue","","null","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"412.6999999997206","","rt_plussign_withcolor","709563","blue","","49","GW/boat.jpg","GW/cake.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","710573","black_plus_sign","","49","","","0.8285714285714286","1","","","","","","","","",""
"null","","color_black","710676","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","712681","black_plus_sign","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","713425","blue","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
